country_code,15-Sep-21
AFG,7174
ARG,113969
AUT,10856
AZE,6167
BEL,25486
BGD,27058
BGR,19809
BIH,10131
BOL,18616
BRA,588597
CAN,27356
CHE,10980
CHL,37261
CHN,4636
COL,125753
CRI,5889
CUB,6523
CZE,30417
DEU,92843
DOM,4022
DZA,5630
ECU,32491
EGY,16908
ESP,85638
ETH,5035
FRA,113805
GBR,134647
GEO,8347
GRC,14311
GTM,12859
HND,9400
HRV,8463
HUN,30114
IDN,139682
IND,443928
IRL,5179
IRN,115619
IRQ,21631
ISR,7452
ITA,130100
JOR,10574
JPN,16993
KAZ,15031
KEN,4949
LBN,8218
LBY,4469
LKA,11699
LTU,4740
MAR,13729
MDA,6559
MEX,269913
MMR,16784
MYS,22009
NLD,18090
NPL,10991
OMN,4090
PAK,27004
PAN,7159
PER,198860
PHL,35742
POL,75454
PRT,17882
PRY,16114
ROU,35215
RUS,191566
SAU,8610
SRB,7633
SVK,12566
SVN,4479
SWE,14740
THA,14765
TUN,24337
TUR,60641
UKR,58025
URY,6045
USA,666607
VEN,4228
VNM,16186
ZAF,85468
ZWE,4551
